iter	Passed	Remaining
0	65	1907
1	122	1718
2	180	1624
3	238	1548
4	296	1482
5	353	1414
6	413	1359
7	474	1304
8	544	1269
9	601	1202
10	662	1144
11	722	1083
12	778	1018
13	838	958
14	907	907
15	964	843
16	1022	781
17	1078	719
18	1136	657
19	1192	596
20	1251	536
21	1312	477
22	1369	416
23	1427	356
24	1485	297
25	1544	237
26	1602	178
27	1662	118
28	1718	59
29	1775	0
