iter	Logloss
0	0.573389484
1	0.4830934155
2	0.4068450312
3	0.3530765657
4	0.3129978795
5	0.2769765854
6	0.2492498429
7	0.2284213035
8	0.2074144425
9	0.1914473349
10	0.1797345684
11	0.1666853351
12	0.155996538
13	0.1471905093
14	0.1410077618
15	0.1342738675
16	0.1250255031
17	0.1176492168
18	0.1119618877
19	0.1065826339
20	0.1046540276
21	0.09875309852
22	0.09603995662
23	0.09428951048
24	0.08794627651
25	0.08628323001
26	0.08432603651
27	0.08198792704
28	0.07919210003
29	0.07646463763
